SuperWEB2(tm)

"General Household Survey 2022"
"Province"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"


"Province",
"Western Cape",7230858.1081517,
"Eastern Cape",6539054.4380097,
"Northern Cape",1294043.7041927,
"Free State",3000437.388734,
"KwaZulu-Natal",11822041.8109305,
"North West",4206408.4050816,
"Gauteng",16266594.7422187,
"Mpumalanga",4857209.8583372,
"Limpopo",6167519.4746898,
"Total",61384167.9303459,


(c) Copyright Statistics South Africa
