Province;Yes;No;Unspecified;Total
Western Cape;7123512.060894;107346.0472577;0;7230858.1081517
Eastern Cape;6292748.4819263;246305.9560835;0;6539054.4380097
Northern Cape;1242681.1976911;51362.5065016;0;1294043.7041927
Free State;2877751.5099831;122685.8787509;0;3000437.388734
KwaZulu-Natal;11634620.7733085;187421.037622;0;11822041.8109305
North West;3987861.0671053;218547.3379762;0;4206408.4050816
Gauteng;15363314.1825159;896541.916174;6738.6435288;16266594.7422187
Mpumalanga;4611514.5314685;245695.3268686;0;4857209.8583372
Limpopo;6073532.9349378;93986.5397521;0;6167519.4746898
Total;59207536.7398295;2169892.5469866;6738.6435288;61384167.9303451
