SuperWEB2(tm)

"General Household Survey 2022"
"Province by Age group"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Age group","00 - 04 years","05 - 09 years","10 - 14 years","15 - 19 years","20 - 24 years","25 - 29 years","30 - 34 years","35 - 39 years","40 - 44 years","45 - 49 years","50 - 54 years","55 - 59 years","60 - 64 years","65 - 69 years","70- 74 years","75+","Total",
"Province",
"Western Cape",615121.6183005,576677.2399618,576260.6124127,575915.7797301,517461.229771,636624.3276109,648305.4071513,626692.2227957,492339.904311,474001.9429482,382110.0925474,347316.8004543,278876.4857197,195014.1837543,127801.7208362,160338.5398467,7230858.1081517,
"Eastern Cape",659534.1475359,712870.097244,776893.160607,569360.3544863,446902.4015195,519245.7776663,533823.5769904,501733.7353581,374327.992943,287377.0455992,232616.9299271,253551.8475351,192082.8502612,171794.2988639,128630.4216544,178309.7998181,6539054.4380097,
"Northern Cape",130388.3473809,127881.1479013,110919.3109215,108272.4637896,103254.7930393,103289.5889819,103246.0183152,95798.3995193,81925.2993548,75885.3885217,60869.7034486,57554.7655887,40609.8974735,44233.3898663,24827.3480514,25087.8420385,1294043.7041927,
"Free State",278702.0849414,293729.3264802,303169.6633132,250311.945424,219169.7476687,245564.744921,279305.652897,254304.3096194,215443.2803384,160565.4139415,122832.5653994,94635.3713463,92772.5658712,79196.8851262,49490.4970662,61243.3343799,3000437.388734,
"KwaZulu-Natal",1163503.2461099,1255492.6506557,1244456.6413232,1031294.761382,980640.0250555,1035026.4921927,1103835.9644021,951591.4243962,734612.7184247,546621.1625104,455897.2516488,390159.1398854,312076.3134803,246423.0272867,183082.4976511,187328.4945256,11822041.8109304,
"North West",432755.345692,415254.7643895,391606.8556483,375587.8639579,327357.6680057,318234.0756761,342901.4288588,333853.4869189,305029.5141269,231489.8354724,178327.6461846,167653.2766736,143273.9967604,95330.380816,61308.447569,86443.8183314,4206408.4050816,
"Gauteng",1311912.0959039,1290703.9072066,1246155.0411489,1254228.555003,1309974.9358375,1549460.8597336,1732161.4682393,1616802.4631413,1287587.5633424,958827.488075,780601.9997998,555346.390404,493753.8442814,358689.6343384,249566.7178305,270821.7779333,16266594.7422188,
"Mpumalanga",507515.6560512,509024.7260858,478137.8875782,430086.093909,397585.3812127,416672.5067265,415858.169478,416406.7219161,288256.3434553,248937.4252778,212615.9309312,179625.5600953,118536.8697201,97370.7333511,66070.3822351,74509.4703137,4857209.8583371,
"Limpopo",712015.2968621,736898.3089699,694524.519624,556654.6745011,458623.8959695,476344.4068018,537279.9838696,474841.7948874,386679.7826353,281544.7835571,216433.7392318,170021.9676398,148161.7068043,109270.2140667,87807.8860674,120416.5132018,6167519.4746898,
"Total",5811447.838778,5918532.1688946,5822123.6925769,5151712.4921831,4760970.0780795,5300462.7803107,5696717.6702017,5272024.5585525,4166202.3989319,3265250.4859034,2642305.8591188,2215865.1196226,1820144.5303721,1397322.7474698,978585.9189611,1164499.590389,61384167.9303458,


(c) Copyright Statistics South Africa
