SuperWEB2(tm)

"General Household Survey 2022"
"Province by Employment status two"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Employment status two","Employed","Unemployed","Not economically active","Not applicable","Total",
"Province",
"Western Cape",2686433.3911549,717240.4248401,2059124.8214817,1768059.470675,7230858.1081517,
"Eastern Cape",1327403.2115107,835402.3656353,2226951.4554767,2149297.4053869,6539054.4380097,
"Northern Cape",369455.7890936,175601.2360824,379797.872813,369188.8062037,1294043.7041927,
"Free State",763077.9355363,419406.5897522,942351.7887106,875601.0747348,3000437.388734,
"KwaZulu-Natal",2908291.2007289,1990245.2694338,3260052.8026789,3663452.5380888,11822041.8109304,
"North West",1042329.4612128,544996.3159151,1379465.6622239,1239616.9657298,4206408.4050816,
"Gauteng",5723790.0886292,2772787.5197597,3921246.0895706,3848771.0442593,16266594.7422188,
"Mpumalanga",1272385.5727829,894489.1846916,1195656.8311475,1494678.2697151,4857209.8583371,
"Limpopo",1383276.0351174,629213.6409937,2011591.6731227,2143438.125456,6167519.4746898,
"Total",17476442.6857668,8979382.5471038,17376238.9972257,17552103.7002495,61384167.9303458,


(c) Copyright Statistics South Africa
