SuperWEB2(tm)

"General Household Survey 2022"
"Province by Geography Type"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Geography Type","Urban formal","Traditional","Farms","Total",
"Province",
"Western Cape",6887668.3243038,0,343189.7838479,7230858.1081517,
"Eastern Cape",3054961.2394997,3358901.4126473,125191.7858627,6539054.4380097,
"Northern Cape",908712.1525995,219310.9929155,166020.5586777,1294043.7041927,
"Free State",2573479.5088476,283276.6959964,143681.18389,3000437.388734,
"KwaZulu-Natal",5309754.2884984,5751728.2555289,760559.2669032,11822041.8109304,
"North West",1835288.518023,2112779.4531964,258340.4338621,4206408.4050816,
"Gauteng",15843181.3915435,241332.516187,182080.8344882,16266594.7422187,
"Mpumalanga",2039816.0395656,2561102.3761984,256291.4425731,4857209.8583371,
"Limpopo",1137759.4566696,4832260.1142517,197499.9037685,6167519.4746898,
"Total",39590620.9195507,19360691.8169216,2432855.1938734,61384167.9303457,


(c) Copyright Statistics South Africa
