SuperWEB2(tm)

"General Household Survey 2022"
"Province by Highest education level"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Highest education level","GRADE R/0","GRADE 1/SUB A/CLASS 1","GRADE 2/SUB B/CLASS 2","GRADE 3/STANDARD 1/ABET/AET 1","GRADE 4/STANDARD 2","GRADE 5/STANDARD 3/ABET/AET 2","GRADE 6/STANDARD 4","GRADE 7/STANDARD 5/ABET/AET 3","GRADE 8/STANDARD 6/FORM 1","GRADE 9/STANDARD 7/FORM 2/ABET/AET 4/NCV LEVEL 1/OCCUPATIONAL CERTIFICATE - NQF LEVEL 1","GRADE 10/STANDARD 8/FORM 3/NCV LEVEL 2/OCCUPATIONAL CERTIFICATE â€“ NQF LEV EL 2","GRADE 11/STANDARD 9/FORM 4/NCV LEVEL 3/OCCUPATIONAL CERTIFICATE â€“ NQF LEV EL 3","GRADE 12/STANDARD 10/FORM 5/NATIONAL SENIOR CERTIFICATE/MATRIC/ NCV LEVEL 4 /OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 4","NTC L/N1/NQF 1","NTC LL/N2/NQF 2","NTC LLL/N3/NQF 3","N4/NTC 4/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 5","N5/NTC 5/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 5","N6/NTC 6/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 5","CERTIFICATE WITH LESS THAN GRADE 12/STANDARD 10","DIPLOMA WITH LESS THAN GRADE 12/STANDARD 10","HIGHER/NATIONAL/ADVANCE CERTIFICATE WITH GRADE 12/STD 10/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 5","DIPLOMA WITH GRADE 12/STANDARD 10/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 6","HIGHER DIPLOMA/OCCUPATIONAL CERTIFICATE (B-TECH DIPLOMA) â€“ NQF LEVEL 7","BACHELORâ€™S DEGREE/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 7","HONOURS DEGREE/POSTGRADUATE DIPLOMA/OCCUPATIONAL CERTIFICATE â€“ NQF LEVEL 8","POST HIGHER DIPLOMA (M-TECH AND MASTER'S DEGREE) â€“ NQF LEVEL 9","DOCTORAL DEGREES (D-TECH AND PHD) â€“ NQF LEVEL 10","OTHER THAN ANY OF THE ABOVE","DO NOT KNOW","NO SCHOOLING","UNSPECIFIED","Total",
"Province",
"Western Cape",131552.5468797,128222.62915,125444.6209493,176490.0626321,155856.8442305,200571.1621695,207169.7815728,346045.0183974,398099.8528806,414976.4828554,681045.5321958,587615.7329744,1696416.3428599,5252.7777522,8259.823367,22048.4251893,16576.0335603,12950.5957557,28601.6535377,3575.6080822,5113.4943703,41388.0331471,325660.7996188,61060.0415543,337244.0952248,77676.5615014,63722.124358,13788.0271214,42984.7711231,77794.478624,833751.7836154,3902.3709014,7230858.1081517,
"Eastern Cape",195607.9196958,199097.9629914,203626.7185226,228368.5919317,262650.6991541,260093.3284526,311421.6453843,408890.298507,430902.4629472,438226.1524495,531471.084086,607040.5227446,963219.9250439,1563.9883102,6159.4582509,5779.3685545,10558.196882,8609.9132583,12738.5395746,8548.2372826,6566.2744073,42735.0454361,211097.3461394,27371.5530956,97530.1429087,40853.3599828,6952.7828291,4447.2554359,26921.819856,22910.8255072,953039.4113509,4053.6070369,6539054.4380097,
"Northern Cape",36950.7651017,34194.6897428,30211.3240801,35898.7851689,30625.3570711,40966.1897226,55702.1795994,75702.7664232,89739.1626756,92925.8048378,123190.4066441,96161.3118039,235618.2696221,407.134195,3774.1605481,2755.3516424,4045.145149,8758.3646696,4836.430947,1404.4997875,2316.2597234,10937.1725446,33771.2205739,390.6927767,20587.6571295,10988.8494963,1186.0465498,0,946.9823692,8647.402254,199611.7608262,791.5605171,1294043.7041927,
"Free State",69249.1726872,74626.3221175,78470.143791,89835.6757298,95801.1756659,97832.2290046,138886.8916657,141081.3283206,186373.2552148,219493.1705646,282069.4178085,215991.4616412,640393.8948499,0,1566.3711254,8442.0396384,12782.1793758,9455.2396619,21766.6754903,4070.2812308,6647.0066488,20395.0358433,72331.7557394,12810.9061724,60422.4758007,9492.9011517,10503.1539507,1606.3149891,4264.966308,13703.0671197,399008.697639,1064.1817872,3000437.388734,
"KwaZulu-Natal",338561.7920675,320123.5876201,331530.9345328,366808.0820629,356183.8040352,355023.1818732,430307.0203229,560755.3765984,595791.9157945,611276.7041424,842243.857572,1192046.8237407,2785515.2558832,4994.9865051,4033.9257485,25038.3768506,14255.0534015,15246.8527977,49683.5422002,3293.5463186,12895.1903379,48450.6995364,294659.4760818,36211.0650913,322573.8633707,66932.0836635,36194.930459,13529.6182701,25418.6693765,80883.5559102,1681578.0387651,0,11822041.8109304,
"North West",95877.5529133,111432.8358556,125093.2775866,115418.1181331,165100.8280286,155782.6386918,185749.1787608,211197.4061997,229644.1982349,279529.7775659,361608.2709732,301737.1402101,807713.7307579,2237.5652382,5631.6847577,7787.8716921,8200.0185542,6463.6674139,17503.5618241,3752.955811,1934.4460901,31231.779979,107853.6282979,14213.0308452,64790.4151985,22414.2160595,3649.2588209,9047.907527,13891.6621985,67167.9813658,669409.5811494,3342.218347,4206408.4050816,
"Gauteng",356582.5790165,284402.2947703,286703.2811051,297970.0309872,347119.3329445,328067.3510674,390627.0398655,527452.0956006,647885.5316195,728873.0111514,1299746.5250513,1750417.9885354,4494753.6569529,8737.1356143,25890.6101882,38999.8163858,68365.9257167,61021.5733741,89387.1813123,19828.87973,43645.1193197,186972.286377,622890.4235764,206429.9701888,651352.7395627,208787.1231257,140721.4578433,48278.0840725,145778.541714,258789.4697165,1695251.6589424,4866.0267905,16266594.7422188,
"Mpumalanga",100551.206595,102624.0358113,138607.7081638,143358.6204375,133647.42875,149585.7003119,211075.224553,256566.3937874,240684.6042359,275968.6369908,352926.3240675,455675.7314485,1044154.410055,1951.5249127,11641.3608603,22467.2210794,21188.7354133,15629.5870983,24259.7059155,1668.8587395,1391.3592412,39870.2820021,139793.7661438,16353.620456,75111.635836,17173.4238124,7210.9038533,1766.4615623,4330.9207295,18226.2413219,829338.5231469,2409.7010053,4857209.8583371,
"Limpopo",154208.7241493,183235.2629303,204713.870824,205565.0167013,203702.8757064,207763.4171421,238224.6286947,269320.9193252,355795.176673,412760.0519617,558961.1656687,585507.6468291,932144.3726295,2663.9978564,9135.7945692,27633.6236207,25672.3517192,14878.4353725,36740.4748415,5888.3440453,8354.4887701,48364.0142642,175195.8981719,22822.4355253,81604.1250636,48600.5498042,13510.1110192,2995.4164501,14137.5184487,37398.1067787,1080020.659134,0,6167519.4746898,
