SuperWEB2(tm)

"General Household Survey 2022"
"Province by Household size"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Household size","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","21","22","Total",
"Province",
"Western Cape",268441.5756903,878846.669013,1123254.8070188,1589896.1309329,1119130.3480104,743520.8613445,431068.7908799,348682.1179663,171519.7551964,237303.5455556,88571.7359901,62468.83848,13354.4588918,118003.4839172,36794.9892645,0,0,0,0,0,0,7230858.1081517,
"Eastern Cape",369755.8956973,555118.9788105,825044.3205991,938533.8549267,924329.2033138,725655.2682837,573802.9997761,519516.1434045,336325.5891475,183400.1455923,135510.1503317,137955.27097,141795.6002135,63414.4859978,86267.3526503,0,22629.178295,0,0,0,0,6539054.4380097,
"Northern Cape",68531.5890557,134244.5137933,183284.4800577,230690.4211197,185684.0689838,163096.3696136,139093.2661777,39271.3250204,37966.253418,55613.6504839,26576.581479,10476.1123612,8000.0898211,6142.6605505,1704.8394781,0,0,0,0,3667.4827791,0,1294043.7041927,
"Free State",176705.6756796,339844.8271932,512824.9273582,688733.0680609,586696.7266156,317787.4773802,199439.6149148,104670.4031323,19345.3092936,11439.0379622,22077.6335653,20872.687578,0,0,0,0,0,0,0,0,0,3000437.388734,
"KwaZulu-Natal",563415.7067302,838514.4865491,1099992.4105204,1746273.8674534,1698726.2289876,1320174.6511169,1112536.8324611,739950.3898539,595892.5903454,494016.6276059,449521.0362598,337483.9702924,216858.7461971,159181.9464143,115035.4252095,168830.8048064,60717.2904417,64181.1550986,40737.6445868,0,0,11822041.8109305,
"North West",324108.2998217,411626.2222721,583700.5747651,753811.7343697,617386.2628567,483903.0263128,408565.3055805,192565.160335,169796.5684154,98382.5989287,126025.583456,13063.75092,0,0,23473.317048,0,0,0,0,0,0,4206408.4050816,
"Gauteng",1094646.7039621,2197646.1552609,2795655.5500263,3536376.9069753,2525549.2268883,1404263.493559,815436.7645155,518831.6137954,470758.7687746,272410.088927,160375.3581299,93677.7106538,157772.7254251,35121.0125672,0,15314.3647355,85028.5950455,48235.8110299,0,0,39493.8919474,16266594.7422187,
"Mpumalanga",243979.5624133,453697.2222791,666963.8651527,733060.5200785,761826.6486058,626179.4283401,530585.1696928,218063.1686164,176537.5665399,163289.4401071,42833.315226,107742.0821938,66741.6471622,13813.9454809,19707.4617015,0,32188.814747,0,0,0,0,4857209.8583372,
"Limpopo",388701.8776134,419702.5348086,747583.6340318,953370.1555529,963653.7612545,858205.2214931,603298.5541351,339044.375186,326624.4780442,244568.2478856,76132.7789876,51056.0559763,79723.5440724,56752.2798651,40671.234228,0,0,0,18430.7415552,0,0,6167519.4746898,
"Total",3498286.8866636,6229241.6099797,8538304.5695302,11170746.65947,9382982.4755165,6642785.7974438,4813827.2981336,3020594.6973102,2304766.879175,1760423.3830483,1127624.1734255,834796.4794254,684246.8117832,452429.8147929,323654.6195799,184145.1695419,200563.8785292,112416.9661285,59168.386142,3667.4827791,39493.8919474,61384167.9303451,


(c) Copyright Statistics South Africa
