SuperWEB2(tm)

"General Household Survey 2022"
"Province by Main income source"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Main income source","Salaries/wages/commission","Income from a business","Remittances","Pensions","Grants (include old age grant here)","Sales of farming products and services","Other income sources e.g. rental income; interest","No income","Unspecified","Total",
"Province",
"Western Cape",4976715.6628169,550956.6145707,161004.9641298,234258.31711,1143137.938189,0,71477.19869,45035.6936657,48271.7189796,7230858.1081517,
"Eastern Cape",2211618.5010106,290318.4901275,567782.484773,224780.2833451,3176639.4079481,722.414424,37685.0176556,29507.8387257,0,6539054.4380097,
"Northern Cape",682722.5012869,64018.0831602,45783.2766824,26056.882657,434468.1017692,14161.5284827,16336.9111916,10496.4189626,0,1294043.7041927,
"Free State",1429892.5661479,176658.1166886,209685.9647695,75617.3854465,1041323.4759293,0,47370.8943143,18775.0063887,1113.9790491,3000437.388734,
"KwaZulu-Natal",5244674.8238089,948738.2379657,891064.5940664,308570.8604563,4285083.5412352,44237.6620789,48774.173099,43262.4769556,7635.4412645,11822041.8109305,
"North West",1782186.0243376,321290.6161848,285710.2826448,81821.7358506,1669566.0666974,9560.8974695,35287.2175831,20985.5643137,0,4206408.4050816,
"Gauteng",10281093.2761304,1580823.7338858,609597.9904761,477577.634734,2799894.1691612,0,298514.934055,208213.4373212,10879.5664552,16266594.7422187,
"Mpumalanga",2176490.3650414,562499.1781408,428724.9937756,108592.9437481,1527969.3548474,7908.3570258,26063.2529428,14699.7761444,4261.6366708,4857209.8583372,
"Limpopo",2382203.0269307,469909.6783737,504119.2712017,151216.147941,2566812.6091787,25679.89582,28395.5117243,35885.4513826,3297.8821371,6167519.4746898,
"Total",31167596.7475115,4965212.7490977,3703473.8225193,1688492.1912886,18644894.6649554,102270.755301,609905.1112557,426861.6638603,75460.2245563,61384167.9303451,


(c) Copyright Statistics South Africa
