SuperWEB2(tm)

"General Household Survey 2022"
"Province by Time taken to school"
"Counting: Person Weight"

Filters:
"Default Summation","Person Weight"

"Time taken to school","Less than 15 minutes","15–30 minutes","31–60 minutes","61–90 minutes","More than 90 minutes","DO NOT KNOW","Not applicable","Total",
"Province",
"Western Cape",801050.7397285,633444.1723569,150895.6983361,19747.287551,867.604573,9378.6241302,5615473.981476,7230858.1081517,
"Eastern Cape",622303.8135007,1119043.6466576,256513.5055428,22884.0706679,4746.8199058,1584.8060857,4511977.7756492,6539054.4380097,
"Northern Cape",118921.8541891,158925.0203763,38925.8186223,686.1879905,318.3360288,1508.6333417,974757.8536441,1294043.7041927,
"Free State",267103.926335,460029.2360685,98476.9342301,9564.7099131,5851.1059045,8722.7903445,2150688.6859384,3000437.388734,
"KwaZulu-Natal",751949.2359281,1902531.4726589,693853.632185,54468.5096678,58581.83921,33188.0128982,8327469.1083824,11822041.8109304,
"North West",460047.218679,514243.0276706,128099.5852269,4611.1653671,5780.3979119,22710.8313304,3070916.1788956,4206408.4050815,
"Gauteng",1486411.674663,1723684.1945979,492125.8517094,41118.0817334,2766.895486,3144.9441085,12517343.0999206,16266594.7422188,
"Mpumalanga",366535.1268938,750253.7755358,264848.9828487,8945.8237333,4559.5147446,0,3462066.6345808,4857209.8583371,
"Limpopo",555734.9186567,1302714.7311588,174212.814021,3809.4525843,373.7863945,4960.9535165,4125712.8183581,6167519.4746898,
"Total",5430058.5085738,8564869.2770812,2297952.8227223,165835.2892083,83846.300159,85199.5957557,44756406.1368454,61384167.9303457,


(c) Copyright Statistics South Africa
