NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
200100001;EC;A V BUKANI PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;SARAH BAARTMAN;;GOVERNMENT;UNKNOWN;-33,52716;25,71395;Sundays River Valley Local Municipality;NONE;;NOMATHAMSANQA;ADDO;Bukani Street,Nomathamsanqa,Addo,6105;Q3;1/1/1927;YES;Urban;980;30
200100002;EC;AARON GQADU PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;NELSON MANDELA;;GOVERNMENT;PUBLIC;-33,86708;25,58508;Nelson Mandela Bay Metropolitan Municipality;Kwazakele 2;;KWAZAKHELE;GQEBERHA;MBILANA CRESCENT,KWAZAKHELE,GQEBERHA,6205;Q3;1/1/1992;YES;Urban;225;7
200100003;EC;ABERDEEN FULL SERVICE SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;FULL SERVICE SCHOOL;SARAH BAARTMAN;;GOVERNMENT;UNKNOWN;-32,47425;24,06113;Dr Beyers Naude Local Municipality;NONE;;;ABERDEEN;4 Parlementstreet ,Aberdeen,Aberdeen,6270;Q3;1/1/1912;YES;Urban;420;14
200100005;EC;ABERDEEN SECONDARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;SARAH BAARTMAN;;GOVERNMENT;PUBLIC;-32,47385;24,06183;Dr Beyers Naude Local Municipality;NONE;;;ABERDEEN;10 Parliament Street,Aberdeen,6270;Q3;1/1/1920;YES;Urban;518;19
200100006;EC;ABRAHAM LEVY PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;NELSON MANDELA;;GOVERNMENT;UNKNOWN;-33,93;25,5657;Nelson Mandela Bay Metropolitan Municipality;Schauderville;;SCHAUDERVILLE;GQEBERHA;SEARLE ROAD,SCHAUDERVILLE,GQEBERHA,6020;Q3;1/1/1959;YES;Urban;590;18
200100009;EC;ADDO PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;SARAH BAARTMAN;;GOVERNMENT;UNKNOWN;-33,54901;25,68643;Sundays River Valley Local Municipality;NONE;;;ADDO;474 Jacaranda Str.,Valencia,Addo,6105;Q3;1/1/1925;YES;Rural;961;24
200100011;EC;BLESSINGS CHRISTIAN PRIMARY LEARNING ACADEMY;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;NELSON MANDELA;;PRIVATE;PRIVATE;-33,95277;25,577844;Nelson Mandela Bay Metropolitan Municipality;;;NORTH END;GQEBERHA;77 CAWOOD STREET,NORTH END,GQEBERHA,6001;N/A;2/25/2014;NO;Urban;50;6
200100012;EC;ADELAIDE GYMNASIUM;OPEN;Public;Ordinary School;SECONDARY SCHOOL;TECHNICAL SCHOOL;AMATHOLE WEST;;GOVERNMENT;PUBLIC;-32,71036;26,29476;Raymond Mhlaba Local Municipality;NONE;;LINGELETHU;ADELAIDE;Welsh Street,Adelaide,Adelaide,5760;Q3;1/1/1979;NO;Urban;641;22
200100013;EC;ADELAIDE PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;AMATHOLE WEST;;GOVERNMENT;UNKNOWN;-32,70782;26,29388;Raymond Mhlaba Local Municipality;NONE;;LINGELETHU;ADELAIDE;Grey Street,Adelaide,5760;Q4;1/1/1906;NO;Urban;349;15
200100014;EC;ADELAIDE JUNIOR SECONDARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;AMATHOLE WEST;;GOVERNMENT;PUBLIC;-32,68456;26,29792;Raymond Mhlaba Local Municipality;Bezuidenhoutville;;LINGELETHU;ADELAIDE;Percy Joseph Street,Bezuidenhoutville,Adelaide,5760;Q3;1/1/1972;YES;Urban;602;20
200100015;EC;ADENDORP PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;SARAH BAARTMAN;;GOVERNMENT;UNKNOWN;-32,30348;24,54938;Dr Beyers Naude Local Municipality;NONE;;GRAAFF-REINET;ADENDORP;17 Van Jaarsveld Street ,Adendorp,Adendorp ,6283;Q3;;YES;Urban;143;5
200100016;EC;ADOLPH SCHAUDER PRIMARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;NELSON MANDELA;;GOVERNMENT;PUBLIC;-33,93187;25,56127;Nelson Mandela Bay Metropolitan Municipality;Schauderville;;SCHAUDERVILLE;PORT ELIZABETH;Gideon Road,Schauderville,Port Elizabeth,6020;Q3;1/1/1965;YES;Urban;557;17
200100018;EC;AEROVILLE SECONDARY SCHOOL;OPEN;Public;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;SARAH BAARTMAN;;GOVERNMENT;PUBLIC;-32,74592;25,60073;Blue Crane Route Local Municipality;NONE;;AEROVILLE;SOMERSET EAST;Perseverance Road,Aeroville,Somerset East,5850;Q3;1/1/1989;YES;Urban;958;36
