NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
440101017;FS;IMPUCUKO P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,32321529;-28,21587089;Dihlabeng;Theronville;BOHLOKONG;BOHLOKONG;BETHLEHEM;1548A MABIZELA STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9702;Q3;NULL;YES;Urban;738;24
440101018;FS;THABANG P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,32179476;-28,21185145;Dihlabeng;Thorisong;BETHLEHEM;BETHLEHEM;BETHLEHEM;2171 BOSIU STREET , BETHLEHEM, BETHLEHEM, BETHLEHEM, 9701;Q3;NULL;YES;Urban;982;30
440101019;FS;UTOPIA PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;28,28701;-28,173089;Dihlabeng;Bethlehem NU;BETHLEHEM;BETHLEHEM;BETHLEHEM;UTOPIA FARM, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700;Q1;NULL;YES;Rural;104;4
440101042;FS;ARRAN PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,359739;-28,182236;Dihlabeng;Bethlehem NU;BETHLEHEM;BETHLEHEM;BETHLEHEM;ARRAN FARM C/O WARDEN ROAD, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700;Q1;NULL;YES;Rural;258;9
440101057;FS;DIHLABENG CHRISTIAN PI/S;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;2;INDEPENDENT;INDEPENDENT;28,42675554;-28,53016889;Dihlabeng;Bethlehem NU;Fouriesburg Road;Fouriesburg Road;CLARENS;Saron Farm, Fouriesburg Road, Fouriesburg Road, CLARENS, 9707;N/A;NULL;NO;Urban;166;14
440101074;FS;HELENA SLABBERTS PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;2;GOVERNMENT;GOVERNMENT;28,19339921;-28,43817662;Dihlabeng;Fouriesburg NU;;;BETHLEHEM;HELENA FARM, , , BETHLEHEM, 9703;Q1;NULL;YES;Rural;103;4
440101087;FS;MOTSHEPUWA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;28,3170574;-28,22224916;Dihlabeng;Old Location;BOHLOKONG;BOHLOKONG;BETHLEHEM;277 MLANGENI STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700;Q3;NULL;YES;Urban;755;27
440101089;FS;IMPUMELELO P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,33208755;-28,20686504;Dihlabeng;Bethlehem SH;Bohlokong;Bohlokong;BETHLEHEM;3306 Nhlabathi Street, Bohlokong, Bohlokong, BETHLEHEM, 9701;Q3;NULL;YES;Urban;1131;33
440101097;FS;REABOKA PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;28,17043854;-28,20080532;Dihlabeng;Bethlehem NU;;;BETHLEHEM;SMALLFONTEIN FARM, , , BETHLEHEM, 9700;Q1;NULL;YES;Rural;106;5
440101102;FS;DUIKFONTEIN PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;28,08787409;-28,26883094;Dihlabeng;Bethlehem NU;;;PAUL ROUX;DUIKFONTEIN FARM, , , PAUL ROUX, 9700;Q1;NULL;YES;Rural;55;3
440101104;FS;LERALLA IF/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;2;GOVERNMENT;GOVERNMENT;28,390177;-28,453075;Dihlabeng;Bethlehem NU;CLARENS;CLARENS;BETHLEHEM;MEMIESRUST FARM, CLARENS, CLARENS, BETHLEHEM, 9707;Q1;NULL;YES;Rural;264;10
440101108;FS;THABO-THOKOZA S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,322243;-28,2181439;Dihlabeng;Old Location;BOHLOKONG;BOHLOKONG;BETHLEHEM;1163 B Manye Street, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9702;Q3;NULL;YES;Urban;1008;32
440101119;FS;MATSWATHAKA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,32629999;-28,20484679;Dihlabeng;Belmont;Bohlokong;Bohlokong;BETHLEHEM;2812 Shupinyaneng Street, Bohlokong, Bohlokong, BETHLEHEM, 9701;Q3;NULL;YES;Urban;1162;29
440101120;FS;BODIKELA  I/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,32531108;-28,20788973;Dihlabeng;Thorisong;BOHLOKONG;BOHLOKONG;BETHLEHEM;2306 MOKGELE STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700;Q3;NULL;YES;Urban;930;25
440101138;FS;BETHLEHEM CS/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,33450741;-28,20255491;Dihlabeng;Bohlokong;BOHLOKONG;BOHLOKONG;BETHLEHEM;3539 NTSHINGILA STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700;Q1;NULL;YES;Urban;1095;42
440101141;FS;YEDDO PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;2;GOVERNMENT;GOVERNMENT;28,25471724;-28,43394675;Dihlabeng;Fouriesburg NU;;;BETHLEHEM;YEDDO FARM, , , BETHLEHEM, 9703;Q1;NULL;YES;Rural;67;1
440101171;FS;NTSU S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;28,29580843;-28,22653075;Dihlabeng;Stafford Hill;MORELIG;MORELIG;BETHLEHEM;28 PIENAAR STREET, MORELIG, MORELIG, BETHLEHEM, 9701;Q4;NULL;NO;Urban;1547;53
440101179;FS;NTHUTE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,33645719;-28,19282019;Dihlabeng;Bethlehem SH;BETHLEHEM;BETHLEHEM;BETHLEHEM;6832 Bohlokong, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9702;Q3;NULL;YES;Urban;1176;29
440101183;FS;TOKOLOHO PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;2;GOVERNMENT;GOVERNMENT;28,11839382;-28,53007094;Dihlabeng;Fouriesburg NU;;;BETHLEHEM;P O BOX 215, , , BETHLEHEM, 9704;Q1;NULL;YES;Rural;21;2
440101190;FS;NKARABENG S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;9;GOVERNMENT;GOVERNMENT;28,70267508;-28,33001325;Maluti a Phofung;Kestell SP;KESTELL;KESTELL;KESTELL;1107 TLHOLONG, KESTELL, KESTELL, KESTELL, 9860;Q1;NULL;YES;Urban;993;29
440101192;FS;TIISETSANG S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;1;GOVERNMENT;GOVERNMENT;28,32147868;-28,21372273;Dihlabeng;Bethlehem NU;Bohlokong;Bohlokong;BETHLEHEM;1421A Phekolong Street, Bohlokong, Bohlokong, BETHLEHEM, 9701;Q3;NULL;YES;Urban;1154;44
440101194;FS;SEKOKO P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;3;GOVERNMENT;GOVERNMENT;27,96590176;-28,29803949;Dihlabeng;Bethlehem NU;FATENG TSE NTSHO;FATENG TSE NTSHO;PAUL ROUX;414 SCHOOL STREET, FATENG TSE NTSHO, FATENG TSE NTSHO, PAUL ROUX, 9800;Q1;NULL;YES;Urban;928;28
440101195;FS;DIPELANENG P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;9;GOVERNMENT;GOVERNMENT;28,69812899;-28,31838102;Maluti a Phofung;Kestell SP;;;KESTELL;269 NCALA STREET, , , KESTELL, 9860;Q2;NULL;YES;Urban;1142;37
