NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
700110015;GT;DALEVIEW SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG SOUTH;2;PUBLIC;PUBLIC;27,821641;-26,405821;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;ENNERDALE EXT 9;EXT. 9;ENNERDALE;JOHANNESBURG;1, C/O VAN ROOYEN CRESCENT & SAMUEL ROAD, EXT. 9, ENNERDALE, JOHANNESBURG;Q2;NULL;YES;URBAN;1725;43
700110023;GT;ENNERDALE SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY & TECHNICAL;JOHANNESBURG SOUTH;2;PUBLIC;PUBLIC;27,8232003;-26,41476068;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;ENNERDALE EXT 2;ENNERDALE;;JOHANNESBURG;3622, AGAAT STREET, ENNERDALE, , JOHANNESBURG;Q5;NULL;YES;URBAN;1846;69
700110031;GT;LAWLEY PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG SOUTH;2;PUBLIC;PUBLIC;27,81045404;-26,38458534;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LAWLEY EXT 2;ENNERADALE;JOHANNESBURG;JOHANNESBURG;461, 3RD AVENUE, ENNERADALE, JOHANNESBURG, JOHANNESBURG;Q1;NULL;YES;URBAN;2530;66
700110049;GT;POSEIDON ROAD PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG SOUTH;2;PUBLIC;PUBLIC;27,83573731;-26,41025464;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;ENNERDALE EXT 3;ENNERDALE;ENNERDALE;JOHANNESBURG;2991, POSEIDON STREET, ENNERDALE, ENNERDALE, JOHANNESBURG;Q5;NULL;NO;URBAN;1553;46
700110056;GT;ALPHA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,83307097;-26,31137398;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 1;EXTENSION 1;LENASIA;JOHANNESBURG;1, WIDGEON & WEAVERBIRD STREETS, EXTENSION 1, LENASIA, JOHANNESBURG;Q5;NULL;NO;URBAN;924;30
700110064;GT;APEX PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG SOUTH;3;PUBLIC;PUBLIC;27,87104;-26,340427;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 10;LENASIA;LENASIA;JOHANNESBURG;245, VOLTA STREET, LENASIA, LENASIA, JOHANNESBURG;Q5;NULL;YES;URBAN;2267;54
700110072;GT;AZARA SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY & TECHNICAL;JOHANNESBURG SOUTH;3;PUBLIC;PUBLIC;27,8698504;-26,33045573;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 9;LENASIA;;JOHANNESBURG;31, CAPELLA STREET, LENASIA, , JOHANNESBURG;Q5;NULL;YES;URBAN;1468;49
700110080;GT;ALOE RIDGE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG SOUTH;3;PUBLIC;PUBLIC;27,95853389;-26,37897294;MIDVAAL LOCAL MUNICIPALITY;BLIGNAUTSRUS AH;HARTZENBERGFONTEIN;WALKERVILLE;WALKERVILLE;1, PORTION 1 OF FARM 99, HARTZENBERGFONTEIN, WALKERVILLE, WALKERVILLE;Q4;NULL;NO;URBAN;750;28
700110098;GT;FLAMINGO PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,83466344;-26,33106239;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 6;EXTENSION 6;LENASIA;JOHANNESBURG;01, CNR FLAMINGO STREET &GUM CRESCENT, EXTENSION 6, LENASIA, JOHANNESBURG;Q4;NULL;NO;URBAN;1474;47
700110106;GT;GREYVILLE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,831869;-26,323692;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 2;LENASIA;LENASIA;JOHANNESBURG;88, ANEMONE, LENASIA, LENASIA, JOHANNESBURG;Q5;NULL;NO;URBAN;1329;42
700110114;GT;HARMONY PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,853134;-26,319475;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 5;EXTENSION 5;LENASIA;JOHANNESBURG;5467, ARGON CRESCENT, EXTENSION 5, LENASIA, JOHANNESBURG;Q4;NULL;NO;URBAN;1038;32
700110122;GT;IMPALA CRESCENT PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,845252;-26,316555;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 5;EXT. 5;LENASIA;JOHANNESBURG;19, MANDRILL, EXT. 5, LENASIA, JOHANNESBURG;Q5;NULL;NO;URBAN;1006;37
700110148;GT;LENASIA MODEL PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;JOHANNESBURG CENTRAL;2;PUBLIC;PUBLIC;27,8355781;-26,31379903;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;LENASIA EXT 1;EXT 1;LENASIA;JOHANNESBURG;38, HERON, EXT 1, LENASIA, JOHANNESBURG;Q5;NULL;NO;URBAN;931;30
