NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
500100011;KZN;SABUYAZE SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;ILEMBE;;GOVERNMENT;GOVERNMENT;31,0689;-29,1633;Maphumulo Local Municipality;NYAMAZANE;;;;WOZA AREA,EZIMANGWENI,MAPHUMULO,4470;Q1;1/3/1900;YES;RURAL;664;21
500100048;KZN;A.I. KAJEE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMGUNGUNDLOVU;;GOVERNMENT;TRUST LAND;29,9989;-29,2095;Mpofana Local Municipality;NONE;;MOOI RIVER;;37 MARKET STREET,MOOIRIVER,3300;Q4;1/3/1900;NO;RURAL;289;9
500100085;KZN;AJ MWELASE SENIOR SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UMLAZI;;GOVERNMENT;GOVERNMENT;30,9379;-29,9339;Ethekwini Metropolitan Municipality;NONE;;LAMONTVILLE;;2381 BHUBESI STREET,LAMONTVILLE,DURBAN,4027;Q3;1/3/1900;YES;URBAN;792;24
500100122;KZN;AYS MEMORIAL PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMLAZI;;GOVERNMENT;GOVERNMENT;30,872;-29,9211;Ethekwini Metropolitan Municipality;MONTFORD;;MONTFORD;;723 ROAD,MONTFORD,DURBAN,4030;Q4;1/3/1900;NO;URBAN;621;27
500100196;KZN;ABAMBO PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;PINETOWN;;GOVERNMENT;GOVERNMENT;30,7877;-29,7391;Ethekwini Metropolitan Municipality;MKHOLOMBE;;EMBO RESERVE;;EMBO RESERVE,HILLCREST,3650;Q2;1/3/1900;YES;RURAL;107;4
500100233;KZN;ABANTUNGWA HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,711;-29,097;Inkosi Langalibalele Local Municipality;EMDWEBU;;;;EMDWEBU LOCATION,EMOWEBU,ESCOURT,3310;Q3;1/3/1900;YES;RURAL;419;15
500100270;KZN;ABAQULUSI HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;ZULULAND;;TRUST LAND;GOVERNMENT;31,0382;-27,4734;eDumbe Local Municipality;KLEINFONTEIN;;EKHUZENI;;BHADENI,PAULPIETERSBURG,PAUL PIETERSBURG,3180;Q1;1/3/1900;YES;RURAL;588;18
500100307;KZN;ABATHWA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMZINYATHI;;GOVERNMENT;GOVERNMENT;30,9467;-28,2564;Nqutu Local Municipality;EXCELSIOR;;NQUTHU;;1320 D-OGAZINI AREA,BABANANGO,VRYHEID,3100;Q1;1/3/1900;YES;RURAL;240;7
500100344;KZN;ACACIAVALE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,803;-28,5946;Alfred Duma Local Municipality;ACACIAVALE;;ACACIAVALE;;FOXGLOVE AVENUE,LADYSMITH ACACIAVALE WEST,LADYSMITH,3370;Q4;1/3/1900;NO;URBAN;983;28
500100381;KZN;ACTON HOMES PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,4065;-28,6455;Okhahlamba Local Municipality;ACTON HOMES;;BERGVILLE;;NOOITGEDACHT FARM,BERGVILLE,3350;Q3;1/3/1900;YES;RURAL;516;15
