NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
900009123;LP;SASELEMANI PROSPECT ACADEMY;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;VHEMBE EAST;;UNKNOWN;UNKNOWN;30,85691055;-22,83385908;COLLINS CHABANE;;SASELEMANI VILLAGE;;SASELEMANE;"NO 785;SASELEMANI VILLAGE;";N/A;NULL;NO;UNKNOWN;489;20
901010042;LP;CARPE DIEM CHRISTIAN;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;MOGALAKWENA;;UNKNOWN;UNKNOWN;29,00354444;-24,19335278;MOGALAKWENA;POTGIETERSRUS;;;MOKOPANE;Geyser Street;N/A;NULL;NO;UNKNOWN;49;3
901340401;LP;MOHUMI;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,96506079;-23,63788842;GREATER LETABA;MOSATE;;SEKGOPO;POLOKWANE;"MOSHATE; GA-SEKGOPO;";Q1;NULL;YES;RURAL;597;19
901340425;LP;MOTSHUEDI;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,98066139;-23,6189555;GREATER LETABA;LEHLANENG;;SEKGOPO;MOOKETSI;"MAROTHOLONG; GA-SEKGOPO;";Q1;NULL;YES;RURAL;896;31
901340449;LP;KGOLAKALELEME;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;30,01259847;-23,60955554;GREATER LETABA;GA-SEKGOPO;;SEKGOPO;KGAPANE;"19 BLOCK C; GA-RAMOADI; SEKGOPO;";Q1;NULL;YES;RURAL;482;20
901340470;LP;MANTSHA;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;30,01672717;-23,61594187;GREATER LETABA;GA-SEKGOPO;;SEKGOPO;MOOKETSI;BLOCK C RAMOADI;Q1;NULL;YES;RURAL;554;15
901340500;LP;MALADUMA;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,96640636;-23,62665754;GREATER LETABA;SEKGOPO;;SEKGOPO;MUNNIK;"628 BLOCK A; SETASENG; GA SEKGOPO;";Q1;NULL;YES;RURAL;256;8
901340524;LP;LEBOWAGANYANE;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,97071855;-23,61998306;GREATER LETABA;MAROTHOLONG;;SEKGOPO;MOOKETSI;"SEKGOPO; GA MOGANO; NEXT TO RAMASALA CAFE;";Q1;NULL;YES;RURAL;536;15
901340531;LP;MAKHABENI;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;30,001547;-23,605483;GREATER LETABA;GA-SEKGOPO;;SEKGOPO;SEKGOPO;"GA-SEKGOPO; MAKHABENI VILLAGE;";Q1;NULL;YES;RURAL;387;11
901340623;LP;MOTSEKETLA;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,98906767;-23,60336818;GREATER LETABA;MOTSEKETLA;GASEKGOPO;SEKGOPO;SEKGOPO;"HEADMAN MAMERIRI; SEKGOPO VILLAGE; MOOKETSI;";Q1;NULL;YES;RURAL;771;21
901340654;LP;SEKGOPO;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,96192;-23,64094101;GREATER LETABA;MOSATE;GAMAILULA;SEKGOPO;MOOKETSI;"MOSHATE; GA-MAILULA;";Q1;NULL;YES;RURAL;204;6
901340746;LP;MATSWIDIKANYE;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,96393842;-23,63310384;GREATER LETABA;GA-MOKOLA;GASEKGOPO;SEKGOPO;MOOKETSI;"GA-SEKGOPO; MOSATE;1456";Q1;NULL;YES;RURAL;400;12
901341176;LP;MAMERIRI;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;29,99047;-23,60977;GREATER LETABA;GA-SEKGOPO;;SEKGOPO;SEKGOPO;"177 EXTA MOTSEKETLA; SEKGOPO;802";Q1;NULL;YES;RURAL;988;23
901361590;LP;MABOKE;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;MOPANI WEST;;UNKNOWN;UNKNOWN;30,01547;-23,62489;GREATER LETABA;GA-SEKGOPO;;SEKGOPO;MOOKETSI;"SEKGOPO BLOCK C; STAND NO 2990; GA -MATLOU;";Q1;NULL;YES;RURAL;299;7
