NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
800000042;MP;SITANANI PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;GERT SIBANDE;;GOVERNMENT;UNKNOWN;30,77672;-26,28505;ALBERT LUTHULI LOCAL MUNICIPALITY;;SUNCITY AREA;MPULUZI;MPULUZI;C 376, SUNCITY, MPULUZI, 2335;Q1;1996-01-01 00:00:00.000;NO;UNKNOWN;501;13
800000067;MP;ALLAN MAKHUNGA PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;GERT SIBANDE;;GOVERNMENT;UNKNOWN;29,07155;-26,52348;GOVAN MBEKI LOCAL MUNICIPALITY;;EMBALENHLE;EMBALENHLE;EMBALENHLE;5133 LIMPOPO AVENUE, EXT 9, EMBALENHLE, 2285;Q4;1992-01-01 00:00:00.000;NO;UNKNOWN;928;27
800000075;MP;ALLENDALE SECONDARY SCHOOL;OPEN;Public;Ordinary School;SECONDARY SCHOOL;DINALEDI;NKANGALA;;MINE;UNKNOWN;29,337;-25,926;EMALAHLENI LOCAL MUNICIPALITY;;VANDYKSDRIFT ROAD;WITBANK;WITBANK;VAN DYKS DRIFT ROAD, LESEDI VILLAGE, EMALAHLENI, 1035;Q4;1994-01-01 00:00:00.000;NO;UNKNOWN;465;21
800000091;MP;ALPHEUS D NKOSI SECONDARY SCHOOL;OPEN;Public;Ordinary School;SECONDARY SCHOOL;DINALEDI;GERT SIBANDE;;GOVERNMENT;UNKNOWN;29,448;-26,48083;GOVAN MBEKI LOCAL MUNICIPALITY;;EMZINONI;EMZINONI;BETHAL;3380 EXT2 MTHETHWA STREET , BETHAL, MZINONI TOWN SHIP , 2310;Q4;1991-02-01 00:00:00.000;NO;UNKNOWN;1296;45
800000141;MP;AMANDLA PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;FARM;UNKNOWN;29,26017;-26,13117;EMALAHLENI LOCAL MUNICIPALITY;;BEZUIDENHOUTSRUS;WITBANK;WITBANK;BEZUIDENHOUT FARM, ALBION, EMALAHLENI, 1039;Q2;1991-02-01 00:00:00.000;NO;UNKNOWN;95;4
800000166;MP;AMANZI PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;GERT SIBANDE;;CHURCH;UNKNOWN;30,60935;-25,8859;ALBERT LUTHULI LOCAL MUNICIPALITY;;BADPLAAS;BADPLAAS;BADPLAAS;VYGEBOOM DAM, , BADPLAAS, 1190;Q2;1991-01-01 00:00:00.000;NO;UNKNOWN;185;6
800000190;MP;THUBELIHLE PRIMARY SCHOOL;OPEN;Public;Ordinary School;COMBINED SCHOOL;FULL SERVICE SCHOOL;GERT SIBANDE;;GOVERNMENT;UNKNOWN;29,84283;-27,01267;PIXLEY KA ISAKA SEME LOCAL MUNICIPALITY;;EZAMOKUHLE TOWNSHIP;AMERSFOORT;AMERSFOOT;212 Pholangwane Street, eZAMOKUHLE, AMERSFOORT, 2490;Q1;1991-01-01 00:00:00.000;NO;UNKNOWN;1056;34
800000240;MP;ANDISA PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;GOVERNMENT;UNKNOWN;29,0091;-25,11712;DR JS MOROKA LOCAL MUNICIPALITY;;MABUYENI;SIYABUSWA;SIYABUSWA;320 MABUYENI SECTION, SIYABUSWA, SIYABUSWA, 472;Q1;1996-01-01 00:00:00.000;NO;UNKNOWN;258;6
800000273;MP;ANDRIES MASHILE PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;UNKNOWN;UNKNOWN;28,508;-25,1475;DR JS MOROKA LOCAL MUNICIPALITY;;PHAKERATLHAGANA;BAMOKGOKO;BAMOKGOKO;20090 Phake Ratlhagane, BA-MOKGOKO, Hammanskraal, 432;Q3;1996-01-01 00:00:00.000;NO;UNKNOWN;639;18
800000281;MP;BESILINDILE PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;GOVERNMENT;UNKNOWN;29,11774;-25,83848;EMALAHLENI LOCAL MUNICIPALITY;;EXTENSION 4;EMALAHLENI;WITBANK;4838 HLALANIKAHLE, PHASE 4, WITBANK, 1039;Q2;1994-01-01 00:00:00.000;NO;UNKNOWN;1195;32
800000307;MP;ARBOR PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;FARM;UNKNOWN;28,88733;-26,04183;VICTOR KHANYE LOCAL MUNICIPALITY;;VLAKVARKFONTEIN FARM;DELMAS;DELMAS;PORTION 5 VLAKVAFONTEIN, DELMAS, Delmas, 2210;Q1;1991-02-01 00:00:00.000;NO;UNKNOWN;350;13
800000349;MP;ARNOT COLLIERY PRIMARY SCHOOL;OPEN;Public;Ordinary School;PRIMARY SCHOOL;UNKNOWN;NKANGALA;;MINE;UNKNOWN;29,78033;-25,93167;STEVE TSHWETE LOCAL MUNICIPALITY;;COLLIERY RIETKUIL;RIETKUIL;RIETKUIL;STAND NO 183, ARNOT, MAFUBE/SIKHULULIWE VILLAGE, 1051;Q2;1991-02-01 00:00:00.000;NO;UNKNOWN;230;9
