NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
600100003;NW;A.G MALEBE INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;NGAKA MODIRI MOLEMA;BODIBE;GOVERNMENT;TRUST LAND;25,749213;-26,127367;DITSOBOTLA LOCAL MUNICIPALITY;;ITSOSENG;ITSOSENG;ITSOSENG;STAND 10771 SPRINGBOKPAN VILLAGE, ITSOSENG, ITSOSENG, 2747;Q2;;NO;UNKNOWN;306;10
600100006;NW;AARON LETSAPA PRIMARY;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;KRAAIMA;GOVERNMENT;GOVERNMENT;25,30953;-26,283101;RATLOU LOCAL MUNICIPALITY;;MAFIKENG;KRAAIPAN;MAFIKENG;10327 MAHUKUBUNG SECTION, KRAAIPAN, MAFIKENG, 2747;Q3;;NO;UNKNOWN;543;17
600100009;NW;ABONTLE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR KENNETH KAUNDA;MEEPONG;GOVERNMENT;GOVERNMENT;26,873942;-26,85067;MATLOSANA LOCAL MUNICIPALITY;;STILFONTEIN;KHUMA LOCATION;STILFONTEIN;3365 18th street, KHUMA, STILFONTEIN, 3747;Q3;;NO;UNKNOWN;564;21
600100010;NW;Academy for Christian Education;OPEN;INDEPENDENT;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;BOJANALA;DITLOU;TRUST LAND;TRUST LAND;27,773;-25,63467;MADIBENG LOCAL MUNICIPALITY;;BRITS;.;BRITS;REITZ EXT., , BRITS, 4747;N/A;;NO;UNKNOWN;1288;61
600100012;NW;AGAPE CHRISTIAN SCHOOL;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;DR KENNETH KAUNDA;RETLAKGONA;CHURCH;CHURCH;27,08667;-26,723;JB MARKS LOCAL MUNICIPALITY;;Potchefstroom;Potchefstroom;Potchefstroom;192 Beyers Naude Street, , Potchefstroom, 2747;N/A;;NO;UNKNOWN;104;8
600100013;NW;AGELELANG THUTO PRIMARY;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;MOROKWENG 2;TRUST LAND;GOVERNMENT;23,464588;-26,165785;KAGISANO-MOLOPO LOCAL MUNICIPALITY;;MANYELEDI;MANYELEDI VILLAGE;MOROKWENG;STAND 74E, MANYELEDI VILLAGE, MANYELEDI, 2747;Q2;;NO;UNKNOWN;56;4
600100014;NW;AGISANANG PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;DELAREYVILLE;GOVERNMENT;GOVERNMENT;25,823303;-26,5593;TSWAING LOCAL MUNICIPALITY;;Agisanang;AGISANANG;SANNIESHOF;217 Thabo Street, Agisanang Township, Agisanang, 6747;Q2;;NO;UNKNOWN;943;28
600100015;NW;Agonkitse Primary School;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;BOJANALA;DINALEDI;TRUST LAND;GOVERNMENT;26,841089;-25,303003;MOSES KOTANE LOCAL MUNICIPALITY;;RUSTENBURG;BAPO 2;RUSTENBURG;40043 MERITING SECTION, BAPO 2, RUSTENBURG, 1747;Q2;;NO;UNKNOWN;384;14
600100016;NW;Akademie Vir Christelik Volks Eie Onderwys Derby;OPEN;INDEPENDENT;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;BOJANALA;KGETLENG RIVER;PRIVATE;Private;27,06833;-25,97223;KGETLENGRIVIER LOCAL MUNICIPALITY;;Derby;Derby;KGETLENGRIVIER;c/o Bernard street & JAmeson road 508, Derby, Derby, 2747;N/A;;NO;UNKNOWN;34;11
600100018;NW;AKOFANG PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR KENNETH KAUNDA;REFENTSE;GOVERNMENT;GOVERNMENT;26,6047;-26,893583;MATLOSANA LOCAL MUNICIPALITY;;KLERKSDORP;JOUBERTON;REFENTSE;1851 TSELANTLE STREET, JOUBERTON, KLERKSDORP, 6560747;Q3;;NO;UNKNOWN;910;26
