NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
300010706;NC;ELIZABETH CONRADIE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;COMPREHENSIVE;FRANCES BAARD (FB);;GOVERNMENT;GOVERNMENT;;;;;;;Kimberley;;UNKNOWN;;NO;UNKNOWN;345;48
300010708;NC;HUIS MIMOSA PRIMER SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;FRANCES BAARD (FB);;GOVERNMENT;GOVERNMENT;;;;;;;Kimberley;;UNKNOWN;;NO;UNKNOWN;8;3
300011202;NC;BUCKLANDS (NGK) PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;CHURCH;INDEPENDENT;-29,07075;23,68877;SIYANCUMA LOCAL MUNICIPALITY;HAY NU;.;.;DOUGLAS;BUCKLANDS, BUCKLANDS DOUGLAS 8730;Q2;;YES;RURAL;170;6
300011204;NC;ISAGO PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7158;24,7247;SOL PLAATJIE LOCAL MUNICIPALITY;.;VERGENOEG;MANKURWANE;KIMBERLEY;74 STRANGER NKOSI STREET, MANKURWANE, KIMBERLEY, 8345;Q2;;NO;URBAN;1078;34
300011206;NC;MOLEHABANGWE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,71198;24,7229;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG EXT 5;VERGENOEG;MANKURWANE;KIMBERLEY;208 MAPUTLE STREET, GALESHEWE, MANKURWANE, 8345;Q2;;NO;URBAN;873;28
300011207;NC;MONTSHIWA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,71433;24,74351;SOL PLAATJIE LOCAL MUNICIPALITY;GALESHEWE EXT 6;.;GALESHEWE;KIMBERLEY;100 GESING STREET, GALESHEWE, KIMBERLEY, 8301;Q2;;NO;URBAN;512;19
300011208;NC;OLIERIVIER MARIANETTE PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;FARM;PUBLIC;-28,92491;23,97789;DIKGATLONG LOCAL MUNICIPALITY;HERBERT NU;.;OLIERIVIER FARM;DOUGLAS;OLIRIVIER,OLIERIVIER DOUGLAS,DOUGLAS,8730;Q2;;YES; RURAL;91;5
300011210;NC;PLOOYSBURG INTERMEDIÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;FARM;PUBLIC;-29,03235;24,23669;SIYANCUMA LOCAL MUNICIPALITY;HERBERT NU;.;.;PLOOYSBURG;PLOOYSBURG8350;Q1;;YES;RURAL;164;7
300011211;NC;SALT LAKE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;FARM;PUBLIC;-29,30213;24,00024;SIYANCUMA LOCAL MUNICIPALITY;HERBERT NU;.;.;SALT LAKE;SALT LAKE FARM DOUGLAS, 8731;Q1;;YES; RURAL;74;5
300011214;NC;VAAL-ORANJE PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-29,04277;23,76856;SIYANCUMA LOCAL MUNICIPALITY;.;.;.;DOUGLAS;622 VAAL-ORANGE AVENUE, BREIPAAL, DOUGLAS, 8730;Q4;;NO;RURAL;1016;31
