NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
100000029;WC;GAIA WALDORF SCHOOL;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;METRO CENTRAL;3;UNKNOWN;UNKNOWN;18,489704;-33,940894;CITY OF CAPE TOWN;UNKNOWN;Oude Molen Village;OBSERVATORY;CITY OF CAPE TOWN;OUDE MOLEN ECO VILLAGE ALEXANDRA ROAD PINELANDS 7405;Q5;;NO;URBAN;125;14
100000030;WC;DARUN NA'IM ACADEMY;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;UNKNOWN;METRO SOUTH;2;UNKNOWN;UNKNOWN;18,470817;-34,012345;CITY OF CAPE TOWN;UNKNOWN;Wynberg;WYNBERG;CITY OF CAPE TOWN;15 MARS ROAD WYNBERG 7800;N/A;;NO;URBAN;120;17
100000031;WC;ATLANTIC BEACH COLLEGE;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;METRO NORTH;10;UNKNOWN;UNKNOWN;18,43906;-33,7296;CITY OF CAPE TOWN;UNKNOWN;Melkbosstrand SP;MELKBOSCH STRAND;CITY OF CAPE TOWN;THE MIRAMAR CENTRE BEACH ROAD MELKBOSSTRAND 7441;Q2;;NO;URBAN;38;5
100000036;WC;TRINITY PRIMARY SCHOOL;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;UNKNOWN;EDEN AND CENTRAL KAR;4;UNKNOWN;UNKNOWN;23,045024;-34,035136;KNYSNA;UNKNOWN;Old Place;KNYSNA CENTRAL;KNYSNA;43 FICHAT STREET KNYSNA CENTRAL KNYSNA 6571;Q2;;NO;URBAN;128;9
100000037;WC;EAGLE'S NEST MINISTRIES, SA;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;METRO EAST;6;UNKNOWN;UNKNOWN;18,743455;-33,853628;CITY OF CAPE TOWN;UNKNOWN;Kraaifontein East 1;WALLACEDENE;CITY OF CAPE TOWN;27536 TAMBO STREET PHASE 5 WALLACEDENE 7570;Q5;;NO;URBAN;469;17
100000038;WC;SILVERMINE ACADEMY;OPEN;INDEPENDENT;ORDINARY SCHOOL;SECONDARY SCHOOL;UNKNOWN;METRO SOUTH;9;UNKNOWN;UNKNOWN;18,3984;-34,121929;CITY OF CAPE TOWN;UNKNOWN;Sun Valley;SUNVALLEY;CITY OF CAPE TOWN;44 BRIGANTINE AVENUE SUN VALLEY 7975;Q2;;NO;URBAN;84;11
100000054;WC;ACADEMY PRIVATE SCHOOL;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;UNKNOWN;METRO EAST;2;UNKNOWN;UNKNOWN;18,708624;-33,928723;CITY OF CAPE TOWN;UNKNOWN;Kuils River Estate;KLEIN ZEVENWACHT;CITY OF CAPE TOWN;1 MERLOT CLOSE KLEIN ZEVENWACHT ESTATE KUILS RIVER 7580;N/A;;NO;RURAL;163;18
100000055;WC;CLAREMONT HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;UNKNOWN;METRO CENTRAL;6;UNKNOWN;UNKNOWN;18,46909128;-33,98800512;CITY OF CAPE TOWN;UNKNOWN;Claremont;CLAREMONT;CITY OF CAPE TOWN;MOLTENO ROAD CLAREMONT 7708;Q5;;NO;URBAN;504;26
100000056;WC;WESTLAKE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;METRO SOUTH;4;UNKNOWN;UNKNOWN;18,4369147;-34,0732557;CITY OF CAPE TOWN;UNKNOWN;Westlake 1;WESTLAKE;CITY OF CAPE TOWN;FICUS STREET WESTLAKE TOKAI 7945;Q4;;YES;URBAN;752;23
100000065;WC;REDDAM HOUSE ATLANTIC SEABOARD;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;UNKNOWN;METRO CENTRAL;2;UNKNOWN;UNKNOWN;18,408376;-33,910456;CITY OF CAPE TOWN;UNKNOWN;Green Point;GREEN POINT;CITY OF CAPE TOWN;20 CAVALCADE ROAD GREEN POINT 8005;Q5;;NO;URBAN;470;47
100000070;WC;IES INTERNATIONAL HELDEBERG SCHOOL (PTY;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;UNKNOWN;METRO EAST;8;UNKNOWN;UNKNOWN;18,857012;-34,100218;CITY OF CAPE TOWN;UNKNOWN;Heritage Park;HERITAGE PARK;CITY OF CAPE TOWN;HAZELDEN DRIVE HERITAGE PARK SOMERSET WEST 7130;Q5;;NO;URBAN;206;24
